flickr_id,flickr_secret,flickr_title,date_taken,tags,flickr_latitude,flickr_longitude,flickr_thumbnail_url,flickr_original_url,flickr_height,flickr_width,description,download_image_name,focal_length,exif_latitude,exif_longitude,exif_elevation,exif_width,exif_height,download_folder
3644297724,dee1d5f1a5,Altar Wall,2009-06-11T19:45:25,beijing altarofgrainandsoil,,,https://farm4.staticflickr.com/3655/3644297724_dee1d5f1a5_t.jpg,https://farm4.staticflickr.com/3655/3644297724_04f29f696a_o.jpg,2848,4288,joining of white (west) and black (north) sides,altar-wall_3644297724_o.jpg,18.0 mm,,,,4288,2848,flickr_shejitan-altar-to-grain-and-soil-beijing_72157619913471289
3644300332,4b68a0f331,Altar Wall,2009-06-11T19:46:03,beijing altarofgrainandsoil,,,https://farm4.staticflickr.com/3411/3644300332_4b68a0f331_t.jpg,https://farm4.staticflickr.com/3411/3644300332_e7d815cd02_o.jpg,2848,4288,Joining of white (west) and yellow (south) sides,altar-wall_3644300332_o.jpg,32.0 mm,,,,4288,2848,flickr_shejitan-altar-to-grain-and-soil-beijing_72157619913471289
3643496213,f10c254c94,Altar Wall,2009-06-11T19:46:13,beijing altarofgrainandsoil,,,https://farm4.staticflickr.com/3301/3643496213_f10c254c94_t.jpg,https://farm4.staticflickr.com/3301/3643496213_14ae7bbc0a_o.jpg,2848,4288,Joining of white (west) and yellow (south) sides--better view with trees and buildings,altar-wall_3643496213_o.jpg,35.0 mm,,,,4288,2848,flickr_shejitan-altar-to-grain-and-soil-beijing_72157619913471289
3643502873,a8448dcac2,Altar,2009-06-11T19:48:27,beijing altarofgrainandsoil,,,https://farm3.staticflickr.com/2469/3643502873_a8448dcac2_t.jpg,https://farm3.staticflickr.com/2469/3643502873_d413100177_o.jpg,2848,4288,,altar_3643502873_o.jpg,28.0 mm,,,,4288,2848,flickr_shejitan-altar-to-grain-and-soil-beijing_72157619913471289
3643500725,cd40e9db9e,Vessels north of altar,2009-06-11T19:47:13,beijing altarofgrainandsoil,,,https://farm4.staticflickr.com/3323/3643500725_cd40e9db9e_t.jpg,https://farm4.staticflickr.com/3323/3643500725_7d9f22af70_o.jpg,2848,4288,,vessels-north-of-altar_3643500725_o.jpg,18.0 mm,,,,4288,2848,flickr_shejitan-altar-to-grain-and-soil-beijing_72157619913471289
3644305006,05cd1b858d,Vessels north of altar,2009-06-11T19:47:00,beijing altarofgrainandsoil,,,https://farm4.staticflickr.com/3612/3644305006_05cd1b858d_t.jpg,https://farm4.staticflickr.com/3612/3644305006_6ae2392e36_o.jpg,2848,4288,,vessels-north-of-altar_3644305006_o.jpg,18.0 mm,,,,4288,2848,flickr_shejitan-altar-to-grain-and-soil-beijing_72157619913471289
4118791814,ba5c7464e2,Tiaomiao sign_DSC0654,2009-11-17T19:59:02,beijing taimiao,,,https://farm3.staticflickr.com/2632/4118791814_ba5c7464e2_t.jpg,https://farm3.staticflickr.com/2632/4118791814_0615560568_o.jpg,2592,3872,"also called Back Hall, Ancestral Shrine",tiaomiao-sign_dsc0654_4118791814_o.jpg,18.0 mm,,,,3872,2592,flickr_taimiao-imperial-ancestral-temple_72157622838917080
4118039347,d8a5d82eb6,Front Hall (Qiandian)_DSC0695,2009-11-17T20:16:33,beijing taimiao,,,https://farm3.staticflickr.com/2615/4118039347_d8a5d82eb6_t.jpg,https://farm3.staticflickr.com/2615/4118039347_71d0226ac4_o.jpg,2592,3872,"also called Xiangdian or Offering Hall, from southeast",front-hall-qiandian_dsc0695_4118039347_o.jpg,18.0 mm,,,,3872,2592,flickr_taimiao-imperial-ancestral-temple_72157622838917080
4117995859,c52013e87b,Front Hall (Qiandian) south side_DSC0597,2009-11-17T19:39:11,beijing taimiao,,,https://farm3.staticflickr.com/2568/4117995859_c52013e87b_t.jpg,https://farm3.staticflickr.com/2568/4117995859_85582e7a25_o.jpg,2592,3872,Also called: Sacrificial Hall (Xiangdian),front-hall-qiandian-south-side_dsc0597_4117995859_o.jpg,18.0 mm,,,,3872,2592,flickr_taimiao-imperial-ancestral-temple_72157622838917080
4118765816,ceffc0ed89,Front Hall (Qiandian) south side_DSC0598,2009-11-17T19:39:24,beijing taimiao,,,https://farm3.staticflickr.com/2582/4118765816_ceffc0ed89_t.jpg,https://farm3.staticflickr.com/2582/4118765816_af9cea6ed6_o.jpg,2592,3872,Also called: Sacrificial Hall (Xiangdian),front-hall-qiandian-south-side_dsc0598_4118765816_o.jpg,18.0 mm,,,,3872,2592,flickr_taimiao-imperial-ancestral-temple_72157622838917080
